clip_name,end,event_number,start
ESPN_E_App_Logo_Reveal_sfx_1080_23.98fps.mov,00:00:04;05,1,00:00:00;00
rooks_pelicans_maedia_day_BTS_100219.mov,00:00:06;16,2,00:00:04;05
rooks_pelicans_maedia_day_BTS_100219.mov,00:00:08;30,3,00:00:06;16
rooks_pelicans_maedia_day_BTS_100219.mov,00:00:12;00,4,00:00:08;30
rooks_pelicans_maedia_day_BTS_100219.mov,00:00:22;54,5,00:00:12;00
rooks_pelicans_maedia_day_BTS_100219.mov,00:00:38;05,6,00:00:22;54
rooks_pelicans_maedia_day_BTS_100219.mov,00:00:41;18,7,00:00:38;05
None,00:00:57;50,8,00:00:41;18
rooks_Zion_NOP_ATL_100819.mov,00:00:59;57,9,00:00:57;50
rooks_Zion_NOP_ATL_100819.mov,00:01:01;18,10,00:00:59;57
rooks_zion_NOP_CHI_101019.mov,00:01:02;56,11,00:01:01;18
rooks_Zion_NOP_ATL_100819.mov,00:01:04;42,12,00:01:02;56
rooks_ja_MEM_MAC_100819.mov,00:01:05;38,13,00:01:04;42
20191007_MELT_FINAL.mp4,00:01:06;35,14,00:01:05;38
rooks_coby_white_MIL_CHI_100819.mov,00:01:07;47,15,00:01:06;35
rooks_NYK_WAS_100819.mov,00:01:09;05,16,00:01:07;47
20191007_MELT_FINAL.mp4,00:01:10;48,17,00:01:09;05
20191007_MELT_FINAL.mp4,00:01:12;32,18,00:01:10;48
rooks_deandre_hunter_NOP_ATL_100819.mov,00:01:16;15,19,00:01:12;32
rooks_deandre_ORL_ATL_101019.mov,00:01:19;17,20,00:01:16;15
rooks_coby_white_MIL_CHI_100819.mov,00:01:20;32,21,00:01:19;17
rooks_coby_white_MIL_CHI_100819.mov,00:01:22;55,22,00:01:20;32
rooks_coby_NOP_CHI_101019.mov,00:01:25;26,23,00:01:22;55
rooks_ja_MEM_MAC_100819.mov,00:01:29;29,24,00:01:25;26
rooks_MEM_NZB_100919.mov,00:01:31;53,25,00:01:29;29
rooks_NYK_WAS_100819.mov,00:01:38;56,26,00:01:31;53
20191007_MELT_FINAL.mp4,00:01:44;35,27,00:01:38;56
20191007_MELT_FINAL.mp4,00:01:51;15,28,00:01:44;35
New_York_scenic_4_new_york_scenics_2_Archive___StLewisJ___02_01_40_00___02_08_45_00.mxf,00:01:54;35,29,00:01:51;15
938933 rj barett shopping target3 gh.mov,00:01:57;21,30,00:01:54;35
938933 rj barett shopping target3 gh.mov,00:02:02;35,31,00:01:57;21
938933 rj barett shopping target3 gh.mov,00:02:07;33,32,00:02:02;35
938933 rj barett shopping target3 gh.mov,00:02:10;57,33,00:02:07;33
938933 rj barett shopping target3 gh.mov,00:02:15;51,34,00:02:10;57
938933 rj barett shopping target3 gh.mov,00:02:17;45,35,00:02:15;51
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:02:20;12,36,00:02:17;45
rooks_934433_rjbarrett_intro_empire_state_1_mw.mov,00:02:22;39,37,00:02:20;12
938933 rj barett shopping target3 gh.mov,00:02:26;26,38,00:02:22;39
938933 rj barett shopping target3 gh.mov,00:02:33;18,39,00:02:26;26
938933 rj barett shopping target3 gh.mov,00:02:36;23,40,00:02:33;18
938933 rj barett shopping target3 gh.mov,00:02:39;09,41,00:02:36;23
938933 rj barett shopping target3 gh.mov,00:02:43;27,42,00:02:39;09
938933 rj barett shopping target3 gh.mov,00:02:46;04,43,00:02:43;27
938933 rj barett shopping target3 gh.mov,00:02:49;53,44,00:02:46;04
938933 rj barett shopping target3 gh.mov,00:02:51;10,45,00:02:49;53
938933 rj barett shopping target3 gh.mov,00:02:52;46,46,00:02:51;10
938933 rj barett shopping target3 gh.mov,00:02:56;18,47,00:02:52;46
938933 rj barett shopping target3 gh.mov,00:03:00;31,48,00:02:56;18
938933 rj barett shopping target3 gh.mov,00:03:04;15,49,00:03:00;31
