date,home,away,time
3/30/20,Jazz,Bulls,9:00 PM
4/11/20,Bulls,Nets,8:00 PM
11/29,Trail Blazers,Bulls,10:00 PM
3/15/20,Bulls,Celtics,8:00 PM
11/23,Hornets,Bulls,7:00 PM
1/4/20,Bulls,Celtics,8:00 PM
11/9,Bulls,Rockets,8:00 PM
11/20,Bulls,Pistons,8:00 PM
4/7/20,Lakers,Bulls,10:30 PM
12/14,Bulls,Clippers,8:00 PM
10/28,Knicks,Bulls,7:00 PM
2/22/20,Bulls,Suns,8:00 PM
10/13,Raptors,Bulls,6:00 PM
1/11/20,Pistons,Bulls,7:00 PM
12/13,Bulls,Hornets,8:00 PM
3/28/20,Bulls,Knicks,8:00 PM
11/27,Warriors,Bulls,10:30 PM
2/9/20,76ers,Bulls,6:00 PM
10/26,Bulls,Raptors,8:00 PM
1/25/20,Cavaliers,Bulls,8:00 PM
12/30/19,Bulls,Bucks,8:00 PM
11/16,Bulls,Nets,6:00 PM
3/14/20,Heat,Bulls,8:00 PM
11/3,Pacers,Bulls,5:00 PM
2/29/20,Knicks,Bulls,5:00 PM
1/17/20,76ers,Bulls,7:00 PM
11/1,Bulls,Pistons,8:00 PM
10/11,Pacers,Bulls,7:00 PM
12/8,Heat,Bulls,6:00 PM
12/4,Bulls,Grizzlies,8:00 PM
1/20/20,Bucks,Bulls,5:00 PM
10/25,Grizzlies,Bulls,8:00 PM
4/13/20,Bulls,Magic,8:00 PM
1/8/20,Pelicans,Bulls,8:00 PM
3/18/20,Bulls,Heat,8:00 PM
3/2/20,Bulls,Mavericks,8:00 PM
1/13/20,Celtics,Bulls,7:30 PM
3/23/20,Bulls,Nuggets,8:00 PM
"Wed, 10/9",Bulls,Pelicans,8:00 PM
2/11/20,Wizards,Bulls,7:00 PM
2/20/20,Bulls,Hornets,8:00 PM
2/2/20,Raptors,Bulls,3:00 PM
3/26/20,Bulls,76ers,8:00 PM
1/18/20,Bulls,Cavaliers,8:00 PM
12/28/19,Bulls,Hawks,8:00 PM
3/6/20,Bulls,Pacers,8:00 PM
3/8/20,Nets,Bulls,3:00 PM
12/9,Bulls,Raptors,8:00 PM
2/25/20,Bulls,Thunder,8:00 PM
11/25,Bulls,Trail Blazers,8:00 PM
12/21,Pistons,Bulls,7:00 PM
2/6/20,Bulls,Pelicans,8:00 PM
1/22/20,Bulls,Timberwolves,8:00 PM
12/2,Kings,Bulls,10:00 PM
4/8/20,Clippers,Bulls,10:30 PM
12/6,Bulls,Warriors,8:00 PM
1/31/20,Nets,Bulls,7:30 PM
1/2/20,Bulls,Jazz,8:00 PM
10/23,Hornets,Bulls,7:00 PM
11/18,Bulls,Bucks,8:00 PM
12/23,Magic,Bulls,7:00 PM
12/16,Thunder,Bulls,8:00 PM
11/6,Hawks,Bulls,7:30 PM
11/5,Bulls,Lakers,8:00 PM
3/21/20,Rockets,Bulls,8:00 PM
2/23/20,Bulls,Wizards,7:00 PM
"Mon, 10/7",Bulls,Bucks,8:00 PM
3/20/20,Spurs,Bulls,8:30 PM
11/12,Bulls,Knicks,8:00 PM
1/27/20,Bulls,Spurs,8:00 PM
11/22,Bulls,Heat,8:00 PM
1/15/20,Bulls,Wizards,8:00 PM
10/17,Bulls,Hawks,8:00 PM
3/4/20,Timberwolves,Bulls,8:00 PM
10/30,Cavaliers,Bulls,7:00 PM
1/29/20,Pacers,Bulls,7:00 PM
12/11,Bulls,Hawks,8:00 PM
3/12/20,Magic,Bulls,7:00 PM
1/24/20,Bulls,Kings,8:00 PM
11/14,Bucks,Bulls,8:00 PM
3/10/20,Bulls,Cavaliers,8:00 PM
1/6/20,Mavericks,Bulls,8:30 PM
4/3/20,Nuggets,Bulls,9:00 PM
1/10/20,Bulls,Pacers,8:00 PM
4/5/20,Suns,Bulls,6:00 PM
4/15/20,Celtics,Bulls,7:30 PM
12/18,Wizards,Bulls,7:00 PM
