date,home,away,time
3/26/20,Kings,Hawks,10:00 PM
11/30,Rockets,Hawks,8:00 PM
2/3/20,Hawks,Celtics,7:30 PM
4/12/20,Bucks,Hawks,7:00 PM
2/24/20,76ers,Hawks,7:00 PM
11/23,Hawks,Raptors,7:30 PM
1/4/20,Hawks,Pacers,7:30 PM
11/20,Hawks,Bucks,7:30 PM
11/22,Pistons,Hawks,7:00 PM
3/16/20,Pelicans,Hawks,8:00 PM
3/6/20,Wizards,Hawks,7:00 PM
10/28,Hawks,76ers,7:30 PM
10/14,Heat,Hawks,7:30 PM
12/13,Hawks,Pacers,7:30 PM
11/29,Pacers,Hawks,8:00 PM
2/10/20,Magic,Hawks,7:00 PM
10/26,Hawks,Magic,7:30 PM
1/24/20,Thunder,Hawks,8:00 PM
12/30/19,Magic,Hawks,7:00 PM
3/14/20,Hawks,Cavaliers,7:30 PM
3/7/20,Grizzlies,Hawks,8:00 PM
3/25/20,Warriors,Hawks,10:30 PM
4/15/20,Hawks,Cavaliers,7:30 PM
3/18/20,Hawks,Thunder,7:30 PM
2/28/20,Hawks,Nets,7:30 PM
1/17/20,Spurs,Hawks,8:30 PM
1/8/20,Hawks,Rockets,7:30 PM
10/31,Hawks,Heat,7:00 PM
12/21,Nets,Hawks,6:00 PM
12/8,Hornets,Hawks,5:00 PM
2/26/20,Hawks,Magic,7:30 PM
12/4,Hawks,Nets,7:30 PM
1/20/20,Hawks,Raptors,2:30 PM
2/1/20,Mavericks,Hawks,8:30 PM
1/6/20,Hawks,Nuggets,7:30 PM
1/3/20,Celtics,Hawks,7:00 PM
11/16,Clippers,Hawks,10:30 PM
12/23,Cavaliers,Hawks,7:00 PM
12/15,Hawks,Lakers,6:00 PM
11/8,Hawks,Kings,7:30 PM
1/12/20,Nets,Hawks,6:00 PM
"Wed, 10/9",Hawks,Magic,7:30 PM
1/26/20,Hawks,Wizards,6:00 PM
2/20/20,Hawks,Heat,7:30 PM
11/27,Bucks,Hawks,8:00 PM
4/7/20,Hawks,Pistons,7:30 PM
11/10,Trail Blazers,Hawks,9:00 PM
10/24,Pistons,Hawks,7:00 PM
1/14/20,Hawks,Suns,7:30 PM
1/18/20,Hawks,Pistons,7:30 PM
12/28/19,Bulls,Hawks,8:00 PM
"Mon, 10/7",Hawks,Pelicans,7:30 PM
12/10,Heat,Hawks,8:00 PM
11/25,Hawks,Timberwolves,7:30 PM
3/31/20,Hawks,Pelicans,7:30 PM
2/7/20,Celtics,Hawks,7:30 PM
2/29/20,Hawks,Trail Blazers,7:30 PM
1/30/20,Hawks,76ers,7:30 PM
11/17,Lakers,Hawks,9:30 PM
1/10/20,Wizards,Hawks,7:00 PM
12/17,Knicks,Hawks,7:30 PM
2/22/20,Hawks,Mavericks,7:30 PM
11/6,Hawks,Bulls,7:30 PM
11/5,Hawks,Spurs,7:30 PM
3/2/20,Hawks,Grizzlies,7:30 PM
3/21/20,76ers,Hawks,7:00 PM
2/12/20,Cavaliers,Hawks,7:00 PM
4/3/20,Hawks,Hornets,7:30 PM
4/10/20,Raptors,Hawks,7:30 PM
12/2,Hawks,Warriors,7:30 PM
11/12,Nuggets,Hawks,9:00 PM
1/28/20,Raptors,Hawks,7:30 PM
3/20/20,Hawks,Wizards,7:30 PM
10/17,Bulls,Hawks,8:00 PM
10/16,Knicks,Hawks,8:00 PM
12/27/19,Hawks,Bucks,7:30 PM
10/29,Heat,Hawks,7:30 PM
12/11,Bulls,Hawks,8:00 PM
2/5/20,Timberwolves,Hawks,8:00 PM
2/9/20,Hawks,Knicks,6:00 PM
3/11/20,Hawks,Knicks,7:30 PM
11/14,Suns,Hawks,9:00 PM
3/9/20,Hawks,Hornets,7:30 PM
1/22/20,Hawks,Clippers,7:30 PM
4/5/20,Hornets,Hawks,1:00 PM
3/28/20,Jazz,Hawks,9:00 PM
12/19,Hawks,Jazz,7:30 PM
