date,home,away,time
2/24/20,Rockets,Knicks,8:00 PM
1/24/20,Knicks,Raptors,7:30 PM
11/23,Knicks,Spurs,7:30 PM
12/26/19,Nets,Knicks,8:00 PM
3/10/20,Wizards,Knicks,7:00 PM
12/13,Kings,Knicks,10:00 PM
10/28,Knicks,Bulls,7:00 PM
12/11,Warriors,Knicks,10:30 PM
3/28/20,Bulls,Knicks,8:00 PM
4/8/20,Knicks,Magic,7:30 PM
11/29,Knicks,76ers,7:30 PM
3/18/20,Celtics,Knicks,7:30 PM
10/26,Knicks,Celtics,7:30 PM
1/7/20,Lakers,Knicks,10:30 PM
2/29/20,Knicks,Bulls,5:00 PM
11/1,Celtics,Knicks,7:30 PM
10/11,Knicks,Wizards,7:30 PM
2/26/20,Hornets,Knicks,7:00 PM
2/27/20,76ers,Knicks,7:00 PM
2/6/20,Knicks,Magic,7:30 PM
3/8/20,Knicks,Pistons,7:30 PM
1/20/20,Cavaliers,Knicks,5:00 PM
12/7,Knicks,Pacers,7:30 PM
10/25,Nets,Knicks,7:30 PM
2/1/20,Pacers,Knicks,7:00 PM
"Mon, 10/7",Wizards,Knicks,7:00 PM
1/3/20,Suns,Knicks,9:00 PM
3/25/20,Knicks,Raptors,7:30 PM
11/16,Knicks,Hornets,7:30 PM
12/23,Knicks,Wizards,7:00 PM
1/8/20,Jazz,Knicks,9:00 PM
12/15,Nuggets,Knicks,8:00 PM
11/18,Knicks,Cavaliers,7:00 PM
11/8,Mavericks,Knicks,8:30 PM
4/3/20,Knicks,Timberwolves,7:30 PM
11/27,Raptors,Knicks,7:30 PM
11/10,Knicks,Cavaliers,7:30 PM
10/23,Spurs,Knicks,8:30 PM
1/14/20,Bucks,Knicks,8:00 PM
4/14/20,Knicks,Pistons,7:30 PM
1/18/20,Knicks,76ers,7:30 PM
12/28/19,Wizards,Knicks,8:00 PM
1/5/20,Clippers,Knicks,3:30 PM
3/6/20,Knicks,Thunder,7:30 PM
10/30,Magic,Knicks,7:00 PM
12/21,Knicks,Bucks,7:30 PM
12/10,Trail Blazers,Knicks,10:00 PM
12/2,Bucks,Knicks,8:00 PM
12/5,Knicks,Nuggets,7:30 PM
10/18,Knicks,Pelicans,8:00 PM
1/10/20,Knicks,Pelicans,8:00 PM
12/17,Knicks,Hawks,7:30 PM
11/6,Pistons,Knicks,7:00 PM
3/2/20,Knicks,Rockets,7:00 PM
3/21/20,Knicks,Warriors,7:30 PM
2/12/20,Knicks,Wizards,7:30 PM
2/21/20,Knicks,Pacers,7:30 PM
1/12/20,Knicks,Heat,3:30 PM
12/1,Knicks,Celtics,3:30 PM
2/3/20,Cavaliers,Knicks,7:00 PM
11/12,Bulls,Knicks,8:00 PM
1/28/20,Hornets,Knicks,7:00 PM
4/15/20,Timberwolves,Knicks,7:30 PM
3/17/20,Knicks,Hornets,7:30 PM
1/16/20,Knicks,Suns,7:30 PM
11/20,76ers,Knicks,7:00 PM
10/16,Knicks,Hawks,8:00 PM
3/4/20,Knicks,Jazz,7:30 PM
1/29/20,Knicks,Grizzlies,7:30 PM
11/24,Knicks,Nets,6:00 PM
4/12/20,Raptors,Knicks,6:00 PM
2/8/20,Pistons,Knicks,7:00 PM
3/27/20,Pelicans,Knicks,8:00 PM
2/9/20,Hawks,Knicks,6:00 PM
4/10/20,Thunder,Knicks,8:00 PM
3/11/20,Hawks,Knicks,7:30 PM
3/13/20,Heat,Knicks,8:00 PM
1/1/20,Knicks,Trail Blazers,7:30 PM
1/26/20,Knicks,Nets,6:00 PM
11/14,Knicks,Mavericks,8:00 PM
1/22/20,Knicks,Lakers,7:30 PM
11/3,Knicks,Kings,6:00 PM
4/5/20,Knicks,Heat,5:00 PM
3/23/20,Knicks,Clippers,7:00 PM
4/1/20,Grizzlies,Knicks,8:00 PM
12/20,Heat,Knicks,8:00 PM
