date,home,away,time
11/30,Kings,Nuggets,5:00 PM
2/4/20,Nuggets,Trail Blazers,10:00 PM
1/20/20,Timberwolves,Nuggets,8:00 PM
3/15/20,Lakers,Nuggets,9:00 PM
1/4/20,Wizards,Nuggets,8:00 PM
11/10,Timberwolves,Nuggets,3:30 PM
11/20,Nuggets,Rockets,9:00 PM
12/25/19,Nuggets,Pelicans,10:30 PM
4/7/20,Nuggets,Grizzlies,9:00 PM
3/25/20,Heat,Nuggets,7:30 PM
2/23/20,Nuggets,Timberwolves,6:00 PM
12/12,Nuggets,Trail Blazers,10:30 PM
2/8/20,Suns,Nuggets,9:00 PM
3/20/20,Thunder,Nuggets,8:00 PM
12/29/19,Nuggets,Kings,8:00 PM
11/14,Nuggets,Nets,10:30 PM
11/2,Magic,Nuggets,7:00 PM
3/7/20,Cavaliers,Nuggets,7:30 PM
4/14/20,Jazz,Nuggets,10:00 PM
1/28/20,Grizzlies,Nuggets,8:00 PM
1/16/20,Warriors,Nuggets,10:30 PM
1/8/20,Mavericks,Nuggets,7:30 PM
10/31,Pelicans,Nuggets,9:30 PM
12/20,Nuggets,Timberwolves,9:00 PM
10/10,Clippers,Nuggets,10:30 PM
4/5/20,Nuggets,Jazz,6:00 PM
1/19/20,Nuggets,Pacers,8:00 PM
10/25,Nuggets,Suns,9:00 PM
1/6/20,Hawks,Nuggets,7:30 PM
11/17,Grizzlies,Nuggets,6:00 PM
2/25/20,Nuggets,Pistons,9:00 PM
12/23,Suns,Nuggets,9:00 PM
12/14,Nuggets,Thunder,9:00 PM
12/15,Nuggets,Knicks,8:00 PM
3/3/20,Nuggets,Warriors,9:00 PM
11/8,Nuggets,76ers,9:00 PM
3/23/20,Bulls,Nuggets,8:00 PM
1/12/20,Nuggets,Clippers,8:00 PM
"Tue, 10/8",Trail Blazers,Nuggets,10:30 PM
2/10/20,Nuggets,Spurs,9:00 PM
2/12/20,Nuggets,Lakers,10:00 PM
2/28/20,Clippers,Nuggets,10:30 PM
3/31/20,Warriors,Nuggets,10:00 PM
10/23,Trail Blazers,Nuggets,10:00 PM
3/13/20,Spurs,Nuggets,8:30 PM
3/5/20,Hornets,Nuggets,7:00 PM
12/10,76ers,Nuggets,7:00 PM
11/26,Nuggets,Wizards,9:00 PM
12/3,Nuggets,Lakers,9:00 PM
12/5,Knicks,Nuggets,7:30 PM
1/30/20,Nuggets,Jazz,10:30 PM
1/31/20,Bucks,Nuggets,9:00 PM
3/30/20,Nuggets,Thunder,9:00 PM
1/2/20,Pacers,Nuggets,7:00 PM
12/22,Lakers,Nuggets,9:30 PM
11/5,Nuggets,Heat,9:00 PM
3/1/20,Nuggets,Raptors,6:00 PM
4/13/20,Nuggets,Mavericks,9:00 PM
4/9/20,Trail Blazers,Nuggets,10:00 PM
1/11/20,Nuggets,Cavaliers,9:00 PM
3/27/20,Nuggets,Spurs,9:00 PM
3/18/20,Nuggets,Clippers,9:00 PM
2/2/20,Pistons,Nuggets,12:30 PM
11/12,Nuggets,Hawks,9:00 PM
11/22,Nuggets,Celtics,9:00 PM
1/15/20,Nuggets,Hornets,9:00 PM
10/17,Nuggets,Trail Blazers,9:00 PM
12/28/19,Nuggets,Grizzlies,5:00 PM
10/28,Kings,Nuggets,10:00 PM
10/29,Nuggets,Mavericks,9:00 PM
11/24,Nuggets,Suns,8:00 PM
2/21/20,Thunder,Nuggets,8:00 PM
2/5/20,Jazz,Nuggets,10:00 PM
12/31/19,Rockets,Nuggets,7:00 PM
1/24/20,Pelicans,Nuggets,8:00 PM
3/9/20,Nuggets,Bucks,9:00 PM
3/11/20,Mavericks,Nuggets,8:30 PM
1/22/20,Rockets,Nuggets,8:00 PM
12/6,Celtics,Nuggets,8:00 PM
4/3/20,Nuggets,Bulls,9:00 PM
12/8,Nets,Nuggets,3:00 PM
1/26/20,Nuggets,Rockets,3:30 PM
10/14,Suns,Nuggets,10:00 PM
3/22/20,Raptors,Nuggets,6:00 PM
4/11/20,Nuggets,Kings,9:00 PM
12/18,Nuggets,Magic,9:00 PM
