date,home,away,time
4/1/20,Wizards,Pelicans,7:00 PM
2/23/20,Warriors,Pelicans,8:30 PM
11/23,Jazz,Pelicans,9:00 PM
1/4/20,Kings,Pelicans,10:00 PM
11/9,Hornets,Pelicans,7:00 PM
11/21,Suns,Pelicans,10:30 PM
3/16/20,Pelicans,Hawks,8:00 PM
12/25/19,Nuggets,Pelicans,10:30 PM
10/28,Pelicans,Warriors,8:00 PM
10/11,Pelicans,Jazz,8:00 PM
10/13,Spurs,Pelicans,4:00 PM
1/11/20,Celtics,Pelicans,7:00 PM
12/13,76ers,Pelicans,7:00 PM
11/29,Thunder,Pelicans,8:00 PM
2/8/20,Pacers,Pelicans,7:30 PM
3/18/20,Pelicans,Spurs,8:00 PM
10/26,Rockets,Pelicans,8:00 PM
2/4/20,Pelicans,Bucks,7:30 PM
12/29/19,Pelicans,Rockets,8:00 PM
3/14/20,Clippers,Pelicans,10:30 PM
11/2,Thunder,Pelicans,5:00 PM
4/15/20,Spurs,Pelicans,7:30 PM
2/28/20,Pelicans,Cavaliers,8:00 PM
1/16/20,Pelicans,Jazz,8:00 PM
4/7/20,Pelicans,Hornets,8:00 PM
10/31,Pelicans,Nuggets,9:30 PM
12/20,Warriors,Pelicans,10:30 PM
1/20/20,Grizzlies,Pelicans,5:00 PM
12/7,Mavericks,Pelicans,2:00 PM
10/25,Pelicans,Mavericks,8:00 PM
1/3/20,Lakers,Pelicans,10:30 PM
11/16,Heat,Pelicans,8:00 PM
2/25/20,Lakers,Pelicans,10:00 PM
12/23,Trail Blazers,Pelicans,10:00 PM
1/8/20,Pelicans,Bulls,8:00 PM
12/15,Pelicans,Magic,3:30 PM
3/3/20,Pelicans,Timberwolves,8:00 PM
11/8,Pelicans,Raptors,8:00 PM
3/21/20,Grizzlies,Pelicans,8:00 PM
"Wed, 10/9",Bulls,Pelicans,8:00 PM
2/13/20,Pelicans,Thunder,8:00 PM
3/8/20,Timberwolves,Pelicans,3:30 PM
11/27,Pelicans,Lakers,9:30 PM
11/11,Pelicans,Rockets,8:00 PM
1/13/20,Pistons,Pelicans,7:00 PM
3/13/20,Jazz,Pelicans,9:00 PM
1/18/20,Pelicans,Clippers,3:30 PM
"Mon, 10/7",Hawks,Pelicans,7:30 PM
2/11/20,Pelicans,Trail Blazers,8:00 PM
3/6/20,Pelicans,Heat,8:00 PM
1/28/20,Cavaliers,Pelicans,7:30 PM
3/24/20,Pelicans,Grizzlies,8:00 PM
12/9,Pelicans,Pistons,8:00 PM
3/31/20,Hawks,Pelicans,7:30 PM
2/6/20,Bulls,Pelicans,8:00 PM
12/3,Pelicans,Mavericks,7:30 PM
12/5,Pelicans,Suns,8:00 PM
1/31/20,Pelicans,Grizzlies,8:00 PM
4/11/20,Pelicans,76ers,7:00 PM
10/18,Knicks,Pelicans,8:00 PM
10/22,Raptors,Pelicans,8:00 PM
11/17,Pelicans,Warriors,7:00 PM
4/13/20,Pelicans,Wizards,8:00 PM
1/10/20,Knicks,Pelicans,8:00 PM
12/17,Pelicans,Nets,8:00 PM
3/1/20,Pelicans,Lakers,8:00 PM
4/9/20,Pelicans,Suns,8:00 PM
2/21/20,Trail Blazers,Pelicans,10:30 PM
12/1,Pelicans,Thunder,5:00 PM
2/2/20,Rockets,Pelicans,2:00 PM
11/19,Pelicans,Trail Blazers,8:00 PM
4/5/20,Spurs,Pelicans,7:00 PM
12/28/19,Pelicans,Pacers,7:00 PM
3/4/20,Mavericks,Pelicans,8:30 PM
12/11,Bucks,Pelicans,9:30 PM
11/24,Clippers,Pelicans,9:00 PM
3/27/20,Pelicans,Knicks,8:00 PM
3/29/20,Magic,Pelicans,6:00 PM
3/11/20,Kings,Pelicans,10:00 PM
1/26/20,Pelicans,Celtics,6:00 PM
1/24/20,Pelicans,Nuggets,8:00 PM
11/14,Pelicans,Clippers,8:00 PM
3/22/20,Pelicans,Kings,7:00 PM
1/22/20,Pelicans,Spurs,8:00 PM
11/4,Nets,Pelicans,7:30 PM
1/6/20,Pelicans,Jazz,8:00 PM
12/18,Timberwolves,Pelicans,8:00 PM
